,아이디,댓글
80,jjiny818,💜참여완료💜함께해요😊 @imiseon97 @iyourhyou5 @ihyeonjeong2542 @iam_2vely @yong8735 @kem718570 @komram1004 @kingaza1136 @koeunme9700 @jj_k011
81,sahykim,세계유산도시기구 메타버스 많은 사랑받으시길 응원하며 소문내요 @aceshhs @cha1205cha
82,dltnwlsu_1,세계유산도시기구 메타버스 많은 관심과 사랑받길 응원합니다 ❤️  @jsmblue79 @jjjuuu777 @ops9911
83,jjiny818,💜참여완료💜함께해요😊 @soddong_00 @detui5375 @suk10167 @freechal44 @gimjiseon617 @goodd_199 @zut__hy @cathero6025 @wjsalswo3 @bumheemarx
84,yspark23,메타버스에 세계유산을 구현하다니! 정말 멋지네요! @_imag0dei
85,jjiny818,💜참여완료💜함께해요😊 @namchoolkee7 @ttjdqmffl_78 @tms07689 @rosegg35_ @eomminam5 @aaallsskkaaa @simeunhye43 @sibokida @suny8180 @sdsj5639
86,yjyj1013,"🌈 세계유산도시기구 메타버스의 멋진 모습 응원합니다. 많은 분들의 사랑받아 더욱 의미있는 공간이 되었으면 좋겠네요^^❤
@58_hsj @blovek8
@soong_75 @perkyhm8305 @kwon5308 ( 。◕‿◕ 。)"
87,u___yuuy,세계유산 메타버스 겅험 해봐요 @archive @molit.g @OEeema_ @sl_sle231
88,jsmblue79,세계유산도시기구 메타버스 응원가득드려요 💖💝💗 @leesujin8207 @borana.kim0921 @kikia_0129 @mamam_1109
89,elly_0754,세계유산을 메타버스로 볼 수 있다니 완전 기대됩니다👍 @min02469
90,dressy4918,"𝓒𝓸𝓷𝓰𝓻𝓪𝓽𝓾𝓵𝓪𝓽𝓲𝓸𝓷𝓼!!
세계유산도시기구 메타버스 오픈을 진심으로 축하드립니다🎊🎉
앞으로도 많은 사람들에게 사랑 듬뿍받기를 힘차게 응원합니다🙌🙌🔥❤️
인친님들도 함께 참여해요😊
҉ ٩(๑>ω<๑)۶҉ o(*'▽'*)/☆ﾟ’
@gjh112 @peach0242 @breezeay33 @sinsa088 @_mong__m @newstart.hj84 @jsb53265267 @saranimida @seonmogo @seon2563"
91,kbangel02,"전 세계 흩어진 세계유산들을 한눈에 체험할 수 있는
세계유산도시기구 메타버스
더욱 많은 분들이 함께하시길 응원합니다!
같이 체험해보자 💕 @jomiseon7445 @geunugjeon @haaapoom @ming_hanharu @1004helloo1004
@dbsgyal @seokgil"
92,ahj_1290,메타버스로 세계유산을 즐길 수 있다니! 무궁무진하네요 메타버스 화이팅🙌🙌 @han._star0 @jhoon2_._ @10000_.jong._2 @seunghee_221 @_.__0_uu
93,rroseroserosedayy,전세계 유산들을 메타버스에서 만나볼수 있뎅 @rove012486 @o9o9gram
94,dsrkmoonsky,"세계유산도시기구 메타버스가 세계유산도시기구 메타버스가 앞으로 다양한 세계유산도시와 세계유산들을 생생히 만나고 체험해볼 수 있는 소중한 공간 되길 응원합니다
@hyunha202 @jaejae4544 @blueciel1982 @koeunme9700 @hvtillmann."
95,yjrpark4452,세계유산도시와 세계유산들 언제든지 만날 수 있는 메타버스 공간 오픈을 진심으로 축하드리고요. 많은 사랑받길 응원합니다~! @iamtonywife @hellohulryung 함께해요~!
96,yumisong0301,"세계유산도시기구 메타버스 오픈을 완전 축하드리며 응원해요 @jewtia1977
@zoo1127"
97,ranchi76,#세계유산도시기구 #메타버스 오픈을 진심으로 축하드립니다~😊 세계유산도시기구 메타버스가 앞으로 다양한 세계유산도시와 세계유산들을 생생히 만나고 체험해볼 수 있는 소중한 공간으로 많은 사랑을 받을 수 있길 항상 응원하겠습니다~❤️ 우리도 얼른 함께 방문해보자~😆 @bestchoi19 @danseo128 @semini_22
98,ne_10.3,세계유산도시기구의 메타버스라니!! 많은 분들께 많은 사랑 받길 응원합니다❤ @nado_1170
99,bada_mom7,세계유산도시기구 싱크로율 1000% 😍 메타버스에서 전 세계 세계유산을 한눈에 볼수있다니 대박이네요😍 응원합니다👏👏👏 @_hohofriend_ @ask_0202020 @seomerry @man_go902 @lovef_198 @1004.sv @ju3390 @bszin2 @iziziz_iziziz @evdonut
100,j__nagd,세계유산도시기구 메타버스 응원해요 ❤️ @hong__0427 @young_k_ho @_salt_hanna @sung_jae_2
101,gyenddl0316,세계유산도시기구 메타버스 오픈을 진심으로 축하드려요~! 메타버스를 통해서 많은 사람들이 세계유산에 대해 관심을 가지기 바랍니다 응원가득드려요😍 @mudaebbow @fbiksy0211 @mantou8311
102,peterpan0212,@woo_k97 세계유산도시 메타버스 공간을 오픈했어요!
103,scent0721,"#세계유산도시기구 #메타버스 세계유산도시와 세계유산들을 하눈에 볼 수 있는 메타버스 오픈을 축하드립니다🎊🎊 많은 관심과 사랑받길 바라며 응원하겠습니다!💓😊💓

@king_cat_7 @sky123142 @sin_min_tang @kymmm_333 @catlove0915 @dressy4918 @kimbangwon7 @chanddo10 @han.yk8008 @ogi_gage
#owhc_ap #팔로우완료 #좋아요❤️"
104,pksiop1,"세계유산도시기구 메타버스
정말 마음에 듭니다.
@pksiop1"
105,kilhwa0611,@lhngia75 @eunhwa782 @dwathe457 @rlfkdos8551 @jangjaewoo73 @leehankyong @dongho8093 세계유산도시와 세계유산들을 메타버스에서 한눈에 보기❣️😊😊
106,izwizforever,메타버스를 통해 세계유산과 도시들을 볼 수 있다니 너무 멋집니다.👍🏻 세계유산도시기구 메타버스가 널리 알려지고 사랑받길 응원해요.🥰 @skyskycd @backforgood7
107,eee2_hs,세계유산도시기구 메타버스 오픈을 축하합니다 많은 사람들에게 사랑받길 응원합니다 @emmaoh0 @moun_s9 @dakodagoyo
108,udacha_koun,세계유산도시기구 메타버스 응원합니다 @lmjlmj0208
109,jhjhyui,세계유산도시기구의 메타버스 응원합니다! 세계유산도 메타버스로 🙌 @zz_ii_zz_oo
110,cyangirl1976,세계유산도시기구 메타버스 공간 오픈 축하하고 응원합니다❤️ 늘 많은 사랑 받길 원하고 바랍니다❤️ 팔로우😍좋아요😍 참여완료😍 @yoom_yoom_yoom @ieunjin470 @somangsae38 @vanbul77 @jeongminhwa904 @park.miyang
111,newraon,"팔로우랑 좋아요 꾹꾹 😇💖세계유산도시기구 메타버스 응원해요 ❤️❤️
@xoxowave00 행운이 오길 바라요 두구두구🍀💟"
112,yusoyi9,세계유산도시기구메타버스응원 정재업 김재연
113,cjhee0125,세계유산도시기구 메타버스 응원합니다 🧡 @sjsjsjsj_12341234 @dltnwlsu_1
114,sek82,세계유산도시기구 메타버스 응원합니다 💜 @roseeuna7 @giseon7722 함께해요^^
115,girlsbiok,세계유산도시기구 메타버스 완전 멋지네요~ 친구들에게 알리며 응원합니다 @yanox_gold @clint_chaa @plusyou1205 @lipsticher
116,123a23aaa,세계유산도시기구 메타버스를 응원합니다 @ttktktkktktktktk
117,t0_028,"메타버스로 세계유산
한눈에 보라 가자
@kang45244524 @freechal44 @yunhui_4551 @616jin1212 @gimjiseon617 @memame_89"
118,cloncsy,경주시 OWHC-AP에서 세계유삭도시와 세계유산들을 한 눈에 볼 수 있는 메타버스 공간 OPEN을 진심으로 축하드립니다 앞으로도 사랑 듬뿍받으세요❤️ @minji_8686 @leemiran1633
119,wany1866,세계유산도시기구 메타버스 오픈을 축하합니다. 이젠 메타버스 속에서 세계유산들을 한눈에 볼수 있다니 너무 좋아요😍 @hyein8765 @sa00sa18
120,seungilpark,세계유산도시기구 메타버스에 많은분들이 찿아오셔 세계유산도시와 세계유산을 보실수 있길 바랍니다~!!https://www.instagram.com/p/ClUpxHnBXYu/?igshid=YmMyMTA2M2Y= @delay_128 @iaesugyeo @thingochue 함께해요~♡
121,guin_guini,"세계유산도시기구 메타버스 오픈을 진심으로 축하드려요~ 짝짝짝 ❤
함께하면서 많은 분들이 힘을 얻을수 있고 행복을 가득 담을수 있었으면 좋겠어요~
우리 함께 언제나 발전하는 멋진 모습 만들어가자구요~ 함께요✨💜
@gugunine99 @benequeen111 함께해요~"
122,koeunme9700,세계유산도시기구 메타버스 응원합니다💛💛💛
123,fbiksy0211,세계유산도시 메타버스 오픈을 축하합니다. ^^ 세계유산도시기구 메타버스너무 이뻐요 ^^ @wany1866 @hyein8765
124,pudding_story_roy,많은 분들에게 사랑 받는 경주시의 세계유산도시기구 메타버스 공간이 되기를 바라고 언제나 함께하며 항상 응원할께요💛 @navijong @wowowowow145 @honing0923 @skacjfrl @namchoolkee7 @ssongi_23 @jin27550 @shine_3829 @gimseongyeon5139 @gongnamol
125,chulhyun3965,세계유산도시기구 메타버스 많은 관심과 사랑 응원합니다 ❤️ 우리 함께하자 @gimmiryang474
126,thstml,"세계유산도시기구 메타버스 응원합니다

@tvcty2021 @konge_2020

https://www.instagram.com/p/ClTnr8tShol/?utm_source=ig_web_copy_link"
127,ss_r_g,"세계유산도시와 세계유산들을 메타버스 공간에서 만나자❤️
@f_llteji_ @sueprout_ @zi_dorkan3 @sinabro5"
128,ddangkong154,"#세계유산도시기구 메타버스 오픈 축하드려요😍😍 많은 분들이 방문해 체험하고 즐길 수 있도록 소문낼게요❤️❤️많은 사랑 받으시길 바랄게요~🤗🤗😊같이해요😍👍
🍀@cshoon3136
🍀@iseunggi516
🍀@mono.7182
🍀@zani7.9
🍀@yunhui_4551
🍀@re_can2003 🍀@sson0980
🍀@jo_ys1779
🍀@kopecpsa0
🍀@ejej1215"
129,c.ookieday,"#세계유산도시기구 메타버스 오픈 축하드려요 🙌❤️ 많은 사랑 받으세요 ❤️메타버스에서 전 세계 세계유산을 한 눈에 볼수 있다니 너무 기대돼요 !! ❤️❤️❤️ ꒰❁ᴗ͈ˬᴗ͈꒱ 🌸🌸🥳💎 ༄

@roomwa_veblue @k1me.e.u.nhee @cherr_y_shower @loii.yuna__ @o_nseouiiio @jelim___night"
130,hojin.mom,"팔로우, 좋아요, 리그램완료❤️ https://www.instagram.com/p/ClbI1C3JPOF/?igshid=YmMyMTA2M2Y= 세계유산도시기구 OWHC-AP에서 세계유산도시와 세계유산들을 한눈에보자 ~~ 참여완료❤️ @dasom.skincare @1030.1013 @hk.shin1 @seong.mrs @heekyoung_4856"
