아이디,댓글,시간
jiji_love0117,#세계유산도시 #메타버스 정말 신기방기한 겸험이였어요 #세계유산도시메타버스 방문을 통해 세계유산의가치를 널리 알리수 있는 계기가 되었으면 좋겠어요 *우체통 방명록 완료*https://www.instagram.com/p/CmESsL3pQHl/?igshid=YmMyMTA2M2Y=,2022-12-05 12:19:42+00:00
dbflglm,참여완료❤️ https://www.instagram.com/p/ClySq-jplLv/?igshid=YmMyMTA2M2Y=,2022-12-05 08:27:40+00:00
aspen100_,참여완료 https://www.instagram.com/p/Clx455dyxRu/?utm_source=ig_web_copy_link,2022-12-07 00:43:50+00:00
moel505,메타버스 입장하고 캐릭터도 만들고 참여 완료 합니다.,2022-12-12 22:13:00+00:00
flower_love_0115,"참여 완료
https://www.instagram.com/p/CmFY7AbyIsr/
방명록도 썼어요 🎵
@petio007 @yunadage @ieunju8067 @jhk8006 @soonsu85 @mtower99
@yunmigyeong63 @kji415",2022-12-05 11:58:11+00:00
neoburish,참여완료🙌 https://www.instagram.com/p/ClyOoyqpIhz/?igshid=YmMyMTA2M2Y=,2022-12-08 06:19:23+00:00
coni0600,참여완료,2022-12-13 09:19:56+00:00
kjk841209114,참여완료 아이가 재미있어하네요. https://www.instagram.com/p/CmGlA8hpNPL/?igshid=YmMyMTA2M2Y=,2022-12-13 08:46:21+00:00
sundew4004,"https://www.instagram.com/p/CmGhXJcJjf_/?utm_source=ig_web_copy_link
참여 완료 합니다.",2022-12-08 03:38:49+00:00
chanchan102938,https://www.instagram.com/p/Cl5GO-3vWqR/?utm_source=ig_web_copy_link 참여완료 ❤️❤️ 메타버스안에서 만나는 경주도 너무 멋있었어요! 함께해요~@smjjdh1225 @gimjeongseon488 @songgolds @choi.zzhang @syj_0728 @jsch610 @jjjuu._.nim @ssong2623 @lyj9201232,2022-12-07 01:56:07+00:00
klopilp,참여완료!! https://www.instagram.com/p/Cl2VtQGBYBp/?utm_source=ig_web_copy_link,2022-12-05 09:54:53+00:00
hsun_84,참여완료 🔥🔥 방명록도 완료🔥🔥 https://www.instagram.com/p/ClyCyEzP_u1475fyFUoQKWNm0HyjUYJy0RgwiE0/?igshid=YmMyMTA2M2Y=,2022-12-10 15:11:54+00:00
gimdonghwi590,참여완료 https://www.instagram.com/p/Cl_fKaYJCn1/?igshid=YmMyMTA2M2Y=,2022-12-08 21:36:55+00:00
kyounq1011,참여완료 https://www.instagram.com/p/Cl7Bj6eBygo/?utm_source=ig_web_copy_link,2022-12-05 06:58:29+00:00
zzxxzz_zzxxzzy,참여완료https://instagram.com/owhc_ap?igshid=YmMyMTA2M2Y=,2022-12-05 02:00:52+00:00
dakr_angel,참여완료했습니다!! 메타버스 파이팅!🔥,2022-12-12 19:36:00+00:00
sonny_side_up_s2,참야완료,2022-12-05 05:24:46+00:00
dltndus80730,참여완료!,2022-12-07 16:33:07+00:00
89091_j,참여완료,2022-12-13 16:46:46+00:00
seungilpark,참여완료 ♥︎ https://www.instagram.com/p/CmHYXgdJPSz/?igshid=YmMyMTA2M2Y=,2022-12-03 06:55:31+00:00
adajaxia,[ 참여완료 ] https://www.instagram.com/p/Clskx2KpyEM/?igshid=YmMyMTA2M2Y=,2022-12-06 13:02:54+00:00
hoho2hee,https://www.instagram.com/p/Cl09JgYhGPl/?igshid=YmMyMTA2M2Y= 참여완료,2022-12-08 13:40:46+00:00
wanso_mom,참여완료 https://www.instagram.com/p/Cl6LGg1Syti/?igshid=YmMyMTA2M2Y=,2022-12-03 16:20:43+00:00
samsampower_0711,https://www.instagram.com/p/CltleycJclt/?igshid=YmMyMTA2M2Y= 참여완료,2022-12-05 12:38:09+00:00
mintyeon0113,참여완료😍 https://www.instagram.com/p/ClyVCu8JfzO/?igshid=YmMyMTA2M2Y=,2022-12-04 02:28:59+00:00
_obrang,참여완료!,2022-12-02 19:47:18+00:00
byunghuncho,참여완료 https://twitter.com/lahilq/status/1598765646929854464?s=19,2022-12-11 09:47:42+00:00
gkdl12399,❤️❤️❤️참여완료 ❤️❤️❤️https://www.instagram.com/p/CmBe0ymJon7/?igshid=YmMyMTA2M2Y=❤️❤️❤️❤️지금같이어려운시기에힘드실텐데불구하구힐링이되고힘이되는재밌는이벤트감사드립니다🙌🔥🙌🔥덕분에코로나로인해지치고힘든마음에힘이되네요😍😍😍앞으로도다양한소식.유익한정보.활발한콘텐츠많이부탁드려요🙌소비자들의사랑과믿음과신뢰듬뿍받으이고많은사랑과성원받으시길기도드리며대박나시고승승장구하시길간절히바래요❤️❤️❤️❤️👍👍👍👍코로나가장기간으로쉽게마무리되지않고있고국민들과소상공인들뿐만아니라사업장모두사는게너무힘이드네요🌷⚘️🌷⚘️🍎🍎🍎🍎🍎고난이오면반듯이축복이올거라믿습니다이렇게지치고힘들때나보다주의를살펴보고⚘️🌷⚘️🌹🌹🌷⚘️🌺🌻🌼🍇🍈🍏🍎🥝🫐🍏🍓🍅🫐🍅🥥🧄🥥🧄🥥힘든사람을도와주는게진정한삶의진리아닐까요?🎂🎂🎂🎂🎂이제는마스크쓰는것도지겹고많이지쳐가는우리대한민국국민들에게힘내라🤩😍🥰🤩😍🥰🤩😍🥰외치고싶네요갈수록힘들어지는삶림살이.💚💙💜🤎🖤💛🧡❤❤️‍🩹❤️‍🔥어찌됐건비가오면햇빛이비치듯.밤이지나면낮이오듯이반듯이좋은날이올것입니다🌝🌝🌝🌝🌟🌟⭐️⭐️🌈🌈🌈🌈🌈이렇게힘든시간에이벤트를해주시는데에감사드리며더욱더소비자의믿음과사랑.신뢰를받는기업이되어주시길바래요화이팅.🎆🎆🎆🎆🎆🎄🎄🎃🎃🎃🌝🌝🌝🌝🌝@rokmc3650🌞🌞 @dada.7705🌛🌛 @eunchan1417 @happyminjeong77🌜🌜🌜🌜 @jihyehwang_jamie83🌕🌕🌕🌕 🌟🌟🌟🌟🌟@woolove486 @chanwonlovelove ⭐️⭐️,2022-12-07 08:26:16+00:00
lucky121216,"참여완료🧡 방명록도 작성했어요🙆‍♂️🙆‍♀️
https://www.instagram.com/p/Cl3CUawJgMe/?igshid=YmMyMTA2M2Y=",2022-12-13 16:34:53+00:00
romanfly1972,"참여완료
https://www.instagram.com/p/CmHXEkIJ3L8/
메타버스 공간에서 세계유산에 대한 정보를 접하고 세계유산의 가치를 배우는 뜻깊은 기회가 되었습니다 👍",2022-12-03 00:22:11+00:00
puganom,"참여완료❤️ https://www.instagram.com/p/Clr3sbfPKBo/ 업로드완료,방명록작성완료",2022-12-06 18:03:59+00:00
elly_0754,참여완료 https://www.instagram.com/p/Cl1frnlvXnb/?utm_source=ig_web_copy_link,2022-12-01 13:58:28+00:00
a_ye02,참여완료🗺 https://www.instagram.com/p/CloLdZbJ45d/?igshid=YmMyMTA2M2Y=,2022-12-04 07:07:11+00:00
jihyun3353,"참여완료❤️
https://www.instagram.com/p/ClvK2i-peNy/?igshid=YWJhMjlhZTc=",2022-12-05 08:07:25+00:00
seoulramblr,"참여완료
https://www.instagram.com/p/Clx2nCcyAJd/",2022-12-04 04:52:32+00:00
j_na1234,참여완료,2022-12-12 03:16:24+00:00
hyeri180516,참여완료♡,2022-12-05 14:17:08+00:00
gimsangin9804,참여완료 https://www.instagram.com/p/ClygiNmJVst/?igshid=YmMyMTA2M2Y=,2022-12-11 01:45:32+00:00
gimgyeongbae22,"참여완료 / 방명록 작성완료
https://www.instagram.com/p/CmAnr81SiNC/",2022-12-11 12:35:38+00:00
